CIP13,NOM COURT
3400921600506,MONTELUKAST PHR LAB 5 MG CPR 28
3400921601916,MONTELUKAST PHR LAB 10 MG CPR 28
3400921604177,RIBAVIRINE ZENTIVA 200 MG CPR 28
3400921604238,RIBAVIRINE ZENTIVA 400 MG CPR 14
3400921604696,"YELLOX 0,9 MG/ML COLLYRE FL 1/5 ML"
3400921604757,ESOMEPRAZOLE RPG 20 MG CPR GASTRORESISTANT 7
3400921604818,ESOMEPRAZOLE RPG 20 MG CPR GASTRORESISTANT 14
3400921605068,ESOMEPRAZOLE RPG 20 MG CPR GASTRORESISTANT 28
3400921605877,ESOMEPRAZOLE RPG 40 MG CPR GASTRORESISTANT 14
3400921606010,ESOMEPRAZOLE RPG 40 MG CPR GASTRORESISTANT 28
3400921607079,CLARITHROMYCINE PFIZER 250 MG CPR 10
3400921607598,CLARITHROMYCINE PFIZER 500 MG CPR 10
3400921607659,CLARITHROMYCINE PFIZER 500 MG CPR 14
3400921607888,ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 7
3400921607949,ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 14
3400921608199,ESOMEPRAZOLE BIOGARAN 20 MG CPR GASTRORESISTANT 28
3400921609080,"AVONEX 30 MCG/0,5 ML SOL INJ STYLO 4/0,5 ML"
3400921609370,ESOMEPRAZOLE BIOGARAN 40 MG CPR GASTRORESISTANT 14
3400921609660,ESOMEPRAZOLE BIOGARAN 40 MG CPR GASTRORESISTANT 28
3400921610550,POLYGYNAX VIRGO CAPSULE VAGINALE 6
3400921610840,NICORANDIL SANDOZ 20 MG CPR 30
3400921611212,ESOMEPRAZOLE TEVA PHARMA 20 MG CPR GASTRORESISTANT 7
3400921611380,ESOMEPRAZOLE TEVA PHARMA 20 MG CPR GASTRORESISTANT 14
3400921611502,ESOMEPRAZOLE TEVA PHARMA 20 MG CPR GASTRORESISTANT 28
3400921611731,NICORANDIL SANDOZ 10 MG CPR SEC 30
3400921612790,LHRH FERRING 100 MCG/ML SOL INJ 1/1 ML
3400921617535,"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 MG/12,5 MG CPR 30"
